,Start_interval,Lactose,Whey central,Whey west
327,2017-07-31,0.35467980295566504,0.425,0.4225
328,2017-08-07,0.3497536945812808,0.41,0.42
329,2017-08-14,0.3497536945812808,0.405,0.41
330,2017-08-21,0.3497536945812808,0.395,0.41
331,2017-08-28,0.32512315270935965,0.3875,0.395
332,2017-09-04,0.3152709359605912,0.385,0.39
333,2017-09-11,0.30049261083743845,0.38,0.3825
334,2017-09-18,0.29064039408867,0.38,0.38
335,2017-09-25,0.29064039408867,0.37,0.375
336,2017-10-02,0.28078817733990147,0.37,0.375
337,2017-10-09,0.2733990147783252,0.36,0.37
338,2017-10-16,0.26600985221674883,0.355,0.365
339,2017-10-23,0.25862068965517243,0.345,0.3525
340,2017-10-30,0.24630541871921185,0.33,0.3475
341,2017-11-06,0.24630541871921185,0.32,0.335
342,2017-11-13,0.2413793103448276,0.315,0.3275
343,2017-11-20,0.23645320197044337,0.305,0.31875
344,2017-11-27,0.23645320197044337,0.3,0.315
345,2017-12-04,0.23152709359605914,0.295,0.3125
346,2017-12-11,0.21674876847290642,0.285,0.2975
347,2017-12-18,0.21674876847290642,0.28,0.2975
348,2017-12-25,0.21674876847290642,0.27,0.2775
349,2016-01-04,0.19211822660098524,0.21375,0.24
350,2016-01-11,0.1970443349753695,0.22,0.24
351,2016-01-18,0.2019704433497537,0.225,0.24
352,2016-01-25,0.20689655172413796,0.2225,0.24
353,2016-02-01,0.20689655172413796,0.2325,0.25
354,2016-02-08,0.20935960591133007,0.235,0.25
355,2016-02-15,0.2118226600985222,0.24,0.25
356,2016-02-22,0.2118226600985222,0.2425,0.25
357,2016-02-29,0.21921182266009856,0.24125,0.25
358,2016-03-07,0.21921182266009856,0.24,0.25
359,2016-03-13,0.22167487684729067,0.2425,0.25
360,2016-03-21,0.2266009852216749,0.2425,0.25
361,2016-03-28,0.2266009852216749,0.2425,0.25
362,2016-04-04,0.22906403940886702,0.24125,0.245
363,2016-04-11,0.23152709359605914,0.24,0.245
364,2016-04-18,0.23152709359605914,0.24,0.2425
365,2016-04-25,0.23891625615763548,0.235,0.24
366,2016-05-02,0.24876847290640397,0.2325,0.23625
367,2016-05-09,0.24876847290640397,0.2325,0.23375
368,2016-05-16,0.24876847290640397,0.2275,0.23375
369,2016-05-23,0.2536945812807882,0.2375,0.23625
370,2016-05-30,0.2536945812807882,0.2375,0.23875
371,2016-06-06,0.2536945812807882,0.2375,0.23875
372,2016-06-13,0.2536945812807882,0.2425,0.23875
373,2016-06-20,0.2536945812807882,0.2475,0.23875
374,2016-06-27,0.2635467980295567,0.2475,0.24875
375,2016-07-04,0.2635467980295567,0.2475,0.255
376,2016-07-11,0.26847290640394095,0.255,0.2625
377,2016-07-18,0.2721674876847291,0.255,0.27125
378,2016-07-25,0.2758620689655173,0.255,0.27125
379,2016-08-01,0.2758620689655173,0.255,0.27125
380,2016-08-08,0.2758620689655173,0.265,0.28625
381,2016-08-15,0.2758620689655173,0.265,0.2975
382,2016-08-22,0.2955665024630542,0.285,0.3
383,2016-08-29,0.3054187192118227,0.295,0.3125
384,2016-09-05,0.3054187192118227,0.295,0.32125
385,2016-09-12,0.3152709359605912,0.305,0.32125
386,2016-09-16,0.3177339901477833,0.305,0.3225
